postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-10-31T15:41:06-0600,2015-10-31T15:41:06-0600,2015-11-25T15:05:50-0700",5294483324,3 Bed Room - Stunning Townhome,1875,,-104.832689,3,39.599247,//denver.craigslist.org/apa/5294483324.html,15,2.5,Nov 25,"2015-10-31T15:41:06-0600,2015-10-31T15:41:06-0600,2015-11-25T15:05:50-0700",1440,33,0
"2015-11-25T15:13:59-0700,2015-11-25T15:13:59-0700",5332356385,Out With The Old And In With The New Renovations at Sky at Bear Creek!,1051,,-104.842505,2,38.805192,//cosprings.craigslist.org/apa/5332356385.html,8,1.5,Nov 25,"2015-11-25T15:13:59-0700,2015-11-25T15:13:59-0700",915,12,0
"2015-11-25T15:11:52-0700,2015-11-25T15:11:52-0700",5332353596,Looking for roommate starting Mid-February,750,,,2,,//denver.craigslist.org/apa/5332353596.html,0,,Nov 25,"2015-11-25T15:11:52-0700,2015-11-25T15:11:52-0700",,6,0
"2015-11-25T15:13:25-0700,2015-11-25T15:13:25-0700",5332355605,We found it! The perfect home!,967,,-104.873758,1,39.6692,//denver.craigslist.org/apa/5332355605.html,0,1.0,Nov 25,"2015-11-25T15:13:25-0700,2015-11-25T15:13:25-0700",405,71,0
"2015-11-25T15:18:16-0700,2015-11-25T15:18:16-0700",5332361843,Don't Pay Rent Until 2016! Only 1 At This Price! Outlook Littleton,1280,,-105.047815,1,39.57996,//denver.craigslist.org/apa/5332361843.html,3,1.0,Nov 25,"2015-11-25T15:18:16-0700,2015-11-25T15:18:16-0700",685,43,0
"2015-11-25T15:05:59-0700,2015-11-25T15:05:59-0700,2015-11-25T15:06:00-0700",5332345850,You Only Live Once. Lease Now at The Seasons!,1372,,-105.093268,2,40.534319,//fortcollins.craigslist.org/apa/5332345850.html,11,2.0,Nov 25,"2015-11-25T15:05:59-0700,2015-11-25T15:05:59-0700,2015-11-25T15:06:00-0700",1067,30,0
"2015-11-25T15:15:41-0700,2015-11-25T15:15:41-0700",5332358540,Need a New Apartment?!,1179,,-105.2531,1,39.9807,//boulder.craigslist.org/apa/5332358540.html,0,1.0,Nov 25,"2015-11-25T15:15:41-0700,2015-11-25T15:15:41-0700",434,6,0
"2015-11-25T15:15:02-0700,2015-11-25T15:15:02-0700",5332357713,Spacious 2/BR available now! UNDER NEW MANAGEMENT,1130,,-104.928123,1,39.696591,//denver.craigslist.org/apa/5332357713.html,3,1.0,Nov 25,"2015-11-25T15:15:02-0700,2015-11-25T15:15:02-0700",800,42,0
"2015-11-25T15:18:40-0700,2015-11-25T15:18:40-0700",5332362346,One Month FREE Rent!! Beautifully Renovated 1bdr Home Available!!,1380,,-104.996988,1,39.757973,//denver.craigslist.org/apa/5332362346.html,9,1.0,Nov 25,"2015-11-25T15:18:40-0700,2015-11-25T15:18:40-0700",734,38,0
"2015-11-25T15:16:43-0700,2015-11-25T15:16:43-0700",5332359842,Huge patio! Large kitchen! Walk-in closets!,1073,,-104.871437,1,39.671406,//denver.craigslist.org/apa/5332359842.html,0,1.0,Nov 25,"2015-11-25T15:16:43-0700,2015-11-25T15:16:43-0700",702,71,0
"2015-11-25T15:17:26-0700,2015-11-25T15:17:26-0700",5332360771,Stop looking and start living! We have your perfect home!,1912,,-104.987837,2,39.698819,//denver.craigslist.org/apa/5332360771.html,0,2.0,Nov 25,"2015-11-25T15:17:26-0700,2015-11-25T15:17:26-0700",1150,25,0
"2015-11-25T15:00:25-0700,2015-11-25T15:00:25-0700",5332338435,Stellar Prices That You Shouldn't Miss Out On!!,,,-104.917114,0,39.674407,//denver.craigslist.org/apa/5332338435.html,13,,Nov 25,"2015-11-25T15:00:25-0700,2015-11-25T15:00:25-0700",,23,0
"2015-11-25T15:15:13-0700,2015-11-25T15:15:13-0700",5332357957,"Huge Bedrooms, Great Location & PET FRIENDLY",1330,,-104.797104,2,39.585514,//denver.craigslist.org/apa/5332357957.html,10,2.0,Nov 25,"2015-11-25T15:15:13-0700,2015-11-25T15:15:13-0700",1106,18,0
"2015-11-25T15:19:04-0700,2015-11-25T15:19:04-0700",5332362843,Check out our leasing special!!,1299,,-104.821544,2,39.584788,//denver.craigslist.org/apa/5332362843.html,0,2.0,Nov 25,"2015-11-25T15:19:04-0700,2015-11-25T15:19:04-0700",978,34,0
"2015-11-25T15:18:00-0700,2015-11-25T15:18:00-0700,2015-11-25T15:20:22-0700",5332361491,"Studio Apartment for Rent, Available now!",995,,-105.062278,1,40.552533,//fortcollins.craigslist.org/apa/5332361491.html,7,,Nov 25,"2015-11-25T15:18:00-0700,2015-11-25T15:18:00-0700,2015-11-25T15:20:22-0700",,4,0
"2015-11-25T15:04:25-0700,2015-11-25T15:04:25-0700",5332343772,What Are You Waiting For?!?,1156,,-104.8799,1,39.6123,//denver.craigslist.org/apa/5332343772.html,5,1.0,Nov 25,"2015-11-25T15:04:25-0700,2015-11-25T15:04:25-0700",762,18,0
"2015-11-25T15:16:30-0700,2015-11-25T15:16:30-0700",5332359581,"Package Receiving, Laundry Facilities , Central Air Conditioning",970,,-104.7403,2,38.8076,//cosprings.craigslist.org/apa/5332359581.html,7,2.0,Nov 25,"2015-11-25T15:16:30-0700,2015-11-25T15:16:30-0700",965,20,0
"2015-11-25T15:19:47-0700,2015-11-25T15:19:47-0700",5332363730,((((( Must See! ))))) ~*~*~ Check This Out! ~*~*~,1309,,,2,,//cosprings.craigslist.org/apa/5332363730.html,6,2.0,Nov 25,"2015-11-25T15:19:47-0700,2015-11-25T15:19:47-0700",1082,60,0
